Date,Rainfall mm,Flag
04/09/2010 11:00:00,0,I
04/09/2010 16:30:00,0.3,
05/09/2010 01:30:00,0.1,
06/09/2010 01:00:00,0.1,
06/09/2010 02:30:00,0.2,
06/09/2010 03:00:00,0.3,
06/09/2010 03:30:00,0.3,
06/09/2010 04:00:00,0.3,
06/09/2010 04:30:00,0.3,
06/09/2010 05:00:00,0.4,
06/09/2010 05:30:00,0.5,
06/09/2010 06:00:00,0.2,
06/09/2010 06:30:00,0.2,
06/09/2010 07:00:00,0.1,
06/09/2010 08:00:00,0.1,
06/09/2010 11:00:00,0.2,
06/09/2010 12:30:00,0.3,
06/09/2010 13:00:00,0.3,
06/09/2010 13:30:00,0.1,
06/09/2010 14:00:00,0.4,
06/09/2010 14:30:00,0.4,
06/09/2010 15:00:00,0.1,
06/09/2010 15:30:00,0.2,
06/09/2010 16:00:00,0.2,
06/09/2010 16:30:00,0.1,
06/09/2010 17:00:00,0.1,
06/09/2010 17:30:00,0.2,
06/09/2010 18:00:00,0.1,
15/09/2010 03:30:00,0.3,
15/09/2010 04:00:00,0.8,
15/09/2010 04:30:00,0.4,
15/09/2010 05:00:00,0.7,
15/09/2010 05:30:00,0.1,
15/09/2010 06:00:00,0.1,
15/09/2010 06:30:00,0.1,
15/09/2010 09:00:00,0.1,
15/09/2010 09:30:00,0.1,
15/09/2010 15:30:00,0.1,
15/09/2010 16:00:00,0.2,
15/09/2010 16:30:00,0.2,
15/09/2010 17:00:00,0.5,
15/09/2010 18:00:00,0.1,
16/09/2010 00:00:00,0.2,
16/09/2010 00:30:00,0.1,
17/09/2010 13:00:00,0.4,
17/09/2010 14:30:00,0.6,
17/09/2010 15:00:00,0.1,
17/09/2010 19:30:00,0.1,
17/09/2010 20:00:00,0.2,
18/09/2010 04:00:00,0.4,
18/09/2010 05:00:00,0.7,
18/09/2010 05:30:00,0.7,
18/09/2010 09:00:00,0.7,
18/09/2010 09:30:00,0.4,
18/09/2010 10:00:00,0.2,
18/09/2010 10:30:00,0.2,
18/09/2010 11:00:00,0.1,
18/09/2010 12:00:00,0.3,
18/09/2010 12:30:00,0.5,
18/09/2010 13:00:00,0.3,
18/09/2010 13:30:00,0.1,
18/09/2010 15:30:00,0.2,
18/09/2010 16:00:00,0.1,
18/09/2010 16:30:00,0.1,
18/09/2010 17:00:00,0.2,
19/09/2010 01:00:00,0.1,
19/09/2010 01:30:00,0.1,
19/09/2010 02:00:00,0.1,
19/09/2010 03:00:00,0.1,
19/09/2010 03:30:00,0.1,
19/09/2010 05:30:00,0.1,
19/09/2010 08:00:00,0.2,
19/09/2010 08:30:00,0.2,
19/09/2010 09:00:00,0.1,
19/09/2010 10:00:00,0.1,
19/09/2010 10:30:00,0.1,
19/09/2010 11:30:00,0.1,
19/09/2010 13:00:00,0.1,
24/09/2010 15:00:00,0.2,
24/09/2010 15:30:00,0.6,
27/09/2010 16:30:00,0.1,
27/09/2010 17:00:00,0.2,
27/09/2010 17:30:00,0.1,
28/09/2010 18:30:00,0.1,
29/09/2010 19:30:00,0.6,
29/09/2010 20:00:00,0.3,
29/09/2010 21:30:00,0.2,
29/09/2010 22:00:00,0.7,
29/09/2010 22:30:00,0.7,
29/09/2010 23:00:00,0.1,
01/10/2010 16:30:00,0.1,
02/10/2010 13:30:00,0.3,
