Date,Event mm,Flag
07/07/2014 13:19:02,0,I
21/07/2014 14:10:24,0,D
21/07/2014 14:14:50,0,I
10/08/2014 18:37:27,0.2,
10/08/2014 18:42:07,0.2,
10/08/2014 18:54:01,0.2,
10/08/2014 20:14:43,0.2,
10/08/2014 21:14:37,0.2,
10/08/2014 22:37:25,0.2,
10/08/2014 22:46:47,0.2,
10/08/2014 23:04:18,0.2,
10/08/2014 23:17:15,0.2,
10/08/2014 23:28:01,0.2,
10/08/2014 23:40:06,0.2,
11/08/2014 00:15:49,0.2,
11/08/2014 00:45:35,0.2,
11/08/2014 07:54:20,0.2,
11/08/2014 08:01:54,0.2,
11/08/2014 08:06:19,0.2,
11/08/2014 08:11:31,0.2,
15/08/2014 16:53:36,0.2,
15/08/2014 16:56:28,0.2,
15/08/2014 16:59:03,0.2,
15/08/2014 17:03:23,0.2,
15/08/2014 17:03:24,0.2,
30/08/2014 22:33:09,0.2,
06/09/2014 18:15:11,0.2,
06/09/2014 18:46:10,0.2,
15/09/2014 15:45:30,0.2,
15/09/2014 16:26:19,0.2,
15/09/2014 16:31:23,0.2,
15/09/2014 16:39:20,0.2,
15/09/2014 16:39:21,0.2,
15/09/2014 16:51:40,0.2,
15/09/2014 17:19:58,0.2,
15/09/2014 17:39:46,0.2,
15/09/2014 17:45:55,0.2,
15/09/2014 23:41:09,0.2,
16/09/2014 12:22:39,0,D
16/09/2014 12:30:00,0,I
16/09/2014 16:27:29,0.2,
16/09/2014 17:01:33,0.2,
17/09/2014 20:45:19,0.2,
18/09/2014 01:12:39,0.2,
18/09/2014 06:38:17,0.2,
27/09/2014 22:36:02,0.2,
28/09/2014 14:23:00,0.2,
28/09/2014 17:23:09,0.2,
28/09/2014 17:23:10,0.2,
29/09/2014 12:35:10,0.2,
29/09/2014 13:02:27,0.2,
29/09/2014 16:43:22,0.2,
29/09/2014 16:49:38,0.2,
29/09/2014 16:54:50,0.2,
30/09/2014 15:03:42,0.2,
30/09/2014 15:05:28,0.2,
30/09/2014 15:05:29,0.2,
30/09/2014 15:06:34,0.2,
30/09/2014 15:06:35,0.2,
30/09/2014 15:08:26,0.2,
30/09/2014 15:08:27,0.2,
08/10/2014 16:30:14,0.2,
08/10/2014 16:37:33,0.2,
08/10/2014 16:39:09,0.2,
08/10/2014 16:43:04,0.2,
08/10/2014 16:55:44,0.2,
08/10/2014 17:04:42,0.2,
08/10/2014 17:11:37,0.2,
08/10/2014 17:17:13,0.2,
08/10/2014 17:20:23,0.2,
08/10/2014 17:23:40,0.2,
08/10/2014 22:21:06,0.2,
08/10/2014 22:23:57,0.2,
08/10/2014 22:31:41,0.2,
08/10/2014 22:35:29,0.2,
