Date,Event mm,Flag,
07/07/2014 11:27:09,0,I,
21/07/2014 15:05:01,0,D,
21/07/2014 15:06:37,0,I,
10/08/2014 18:33:51,0.2,,
10/08/2014 18:43:20,0.2,,
10/08/2014 19:04:36,0.2,,
10/08/2014 20:28:41,0.2,,
10/08/2014 22:37:54,0.2,,
10/08/2014 22:56:36,0.2,,
10/08/2014 23:07:51,0.2,,
10/08/2014 23:07:52,0.2,,
10/08/2014 23:15:04,0.2,,
10/08/2014 23:21:52,0.2,,
10/08/2014 23:33:26,0.2,,
10/08/2014 23:42:50,0.2,,
11/08/2014 00:02:49,0.2,,
11/08/2014 00:35:16,0.2,,
11/08/2014 07:35:46,0.2,,
11/08/2014 07:45:17,0.2,,
11/08/2014 07:50:12,0.2,,
11/08/2014 07:55:26,0.2,,
13/08/2014 18:59:33,0.2,,
15/08/2014 16:51:57,0.2,,
15/08/2014 16:55:48,0.2,,
15/08/2014 16:58:14,0.2,,
15/08/2014 17:01:10,0.2,,
15/08/2014 17:01:11,0.2,,
15/08/2014 17:05:00,0.2,,
15/08/2014 17:08:55,0.2,,
15/08/2014 17:13:49,0.2,,
15/08/2014 17:42:25,0.2,,
30/08/2014 21:47:34,0.2,,
06/09/2014 18:48:15,0.2,,
15/09/2014 15:44:26,0.2,,
15/09/2014 16:30:36,0.2,,
15/09/2014 16:30:37,0.2,,
15/09/2014 16:38:25,0.2,,
15/09/2014 16:46:14,0.2,,
15/09/2014 16:55:52,0.2,,
15/09/2014 17:25:25,0.2,,
15/09/2014 17:40:29,0.2,,
15/09/2014 17:53:50,0.2,,
16/09/2014 12:52:58,0,D,
16/09/2014 13:00:00,0,I,
16/09/2014 16:21:53,0.2,,
16/09/2014 16:34:21,0.2,,
16/09/2014 16:45:49,0.2,,
16/09/2014 16:45:50,0.2,,
16/09/2014 16:50:05,0.2,,
17/09/2014 18:46:37,0.2,,
17/09/2014 22:22:44,0.2,,
26/09/2014 12:12:46,0.2,,
26/09/2014 12:12:53,0.2,,
28/09/2014 17:15:05,0.2,,
28/09/2014 17:26:24,0.2,,
28/09/2014 17:35:24,0.2,,
29/09/2014 16:44:57,0.2,,
30/09/2014 15:05:43,0.2,,
30/09/2014 15:07:40,0.2,,
30/09/2014 15:10:06,0.2,,
30/09/2014 15:23:33,0.2,,
08/10/2014 16:35:41,0.2,,
08/10/2014 16:37:18,0.2,,
08/10/2014 16:37:19,0.2,,
08/10/2014 16:53:54,0.2,,
08/10/2014 16:53:55,0.2,,
08/10/2014 17:03:04,0.2,,
08/10/2014 17:14:06,0.2,,
08/10/2014 17:18:47,0.2,,
08/10/2014 17:22:54,0.2,,
08/10/2014 17:22:55,0.2,,
08/10/2014 22:10:22,0.2,,
08/10/2014 22:22:24,0.2,,
08/10/2014 22:22:25,0.2,,
08/10/2014 22:27:43,0.2,,
08/10/2014 22:27:44,0.2,,
08/10/2014 22:31:36,0.2,,
08/10/2014 22:34:57,0.2,,
08/10/2014 22:57:55,0.2,,
08/10/2014 23:01:21,0.2,,
