Date,Event mm,Flag
20/11/2013 10:37:21,0,I
20/11/2013 15:40:30,0.1,
21/11/2013 23:45:25,0.1,
21/11/2013 23:57:24,0.1,
22/11/2013 05:23:59,0.1,
22/11/2013 09:16:48,0.1,
22/11/2013 09:30:53,0.1,
22/11/2013 09:46:11,0.1,
22/11/2013 21:50:05,0.1,
22/11/2013 22:23:10,0.1,
23/11/2013 01:32:02,0.1,
23/11/2013 02:05:25,0.1,
23/11/2013 13:19:15,0.1,
23/11/2013 13:22:28,0.1,
23/11/2013 13:25:02,0.1,
23/11/2013 13:28:43,0.1,
23/11/2013 13:40:10,0.1,
23/11/2013 13:51:31,0.1,
23/11/2013 13:56:46,0.1,
23/11/2013 14:16:25,0.1,
23/11/2013 14:27:04,0.1,
23/11/2013 14:28:52,0.1,
23/11/2013 14:30:41,0.1,
23/11/2013 14:32:37,0.1,
23/11/2013 14:34:55,0.1,
23/11/2013 14:38:51,0.1,
23/11/2013 14:42:53,0.1,
23/11/2013 14:47:24,0.1,
23/11/2013 14:53:58,0.1,
23/11/2013 14:58:53,0.1,
23/11/2013 15:04:19,0.1,
23/11/2013 18:34:17,0.1,
23/11/2013 18:46:19,0.1,
24/11/2013 00:38:01,0.1,
24/11/2013 07:22:57,0.1,
24/11/2013 13:02:37,0.1,
24/11/2013 13:04:03,0.1,
24/11/2013 13:10:58,0.1,
24/11/2013 15:17:31,0.1,
24/11/2013 15:22:33,0.1,
24/11/2013 15:29:33,0.1,
24/11/2013 15:35:20,0.1,
24/11/2013 15:36:43,0.1,
24/11/2013 15:37:57,0.1,
24/11/2013 15:39:10,0.1,
24/11/2013 15:40:44,0.1,
24/11/2013 15:42:06,0.1,
24/11/2013 15:43:17,0.1,
24/11/2013 15:44:34,0.1,
24/11/2013 15:46:32,0.1,
24/11/2013 15:48:01,0.1,
24/11/2013 15:49:59,0.1,
24/11/2013 15:51:36,0.1,
24/11/2013 15:53:00,0.1,
24/11/2013 15:54:06,0.1,
24/11/2013 15:55:07,0.1,
24/11/2013 15:56:03,0.1,
24/11/2013 15:57:02,0.1,
24/11/2013 15:57:55,0.1,
24/11/2013 15:58:52,0.1,
24/11/2013 15:59:43,0.1,
24/11/2013 16:00:39,0.1,
24/11/2013 16:01:35,0.1,
24/11/2013 16:02:34,0.1,
24/11/2013 16:03:32,0.1,
24/11/2013 16:04:38,0.1,
24/11/2013 16:05:34,0.1,
24/11/2013 16:06:48,0.1,
24/11/2013 16:07:54,0.1,
24/11/2013 16:09:03,0.1,
24/11/2013 16:10:21,0.1,
24/11/2013 16:11:58,0.1,
24/11/2013 16:13:35,0.1,
24/11/2013 16:16:44,0.1,
24/11/2013 16:20:21,0.1,
24/11/2013 16:23:54,0.1,
24/11/2013 16:29:54,0.1,
24/11/2013 22:35:52,0.1,
25/11/2013 01:03:31,0.1,
25/11/2013 01:38:21,0.1,
25/11/2013 12:22:35,0.1,
25/11/2013 12:24:22,0.1,
25/11/2013 12:25:57,0.1,
25/11/2013 14:58:49,0.1,
25/11/2013 15:01:29,0.1,
25/11/2013 15:02:56,0.1,
25/11/2013 15:03:50,0.1,
25/11/2013 15:05:10,0.1,
25/11/2013 15:06:58,0.1,
25/11/2013 15:09:07,0.1,
25/11/2013 15:12:47,0.1,
25/11/2013 15:23:04,0.1,
25/11/2013 15:27:33,0.1,
25/11/2013 15:55:56,0.1,
25/11/2013 15:59:32,0.1,
25/11/2013 16:29:26,0.1,
26/11/2013 18:26:52,0.1,
26/11/2013 19:55:04,0.1,
27/11/2013 18:14:53,0.1,
28/11/2013 20:35:29,0.1,
28/11/2013 20:41:38,0.1,
28/11/2013 20:52:18,0.1,
29/11/2013 11:53:24,0.1,
29/11/2013 12:01:54,0.1,
29/11/2013 12:07:25,0.1,
29/11/2013 12:17:03,0.1,
30/11/2013 17:47:21,0,D
30/11/2013 17:55:46,0,I
30/11/2013 17:56:23,0,X
02/12/2013 07:10:29,0.1,
02/12/2013 12:36:45,0.1,
02/12/2013 12:44:05,0.1,
02/12/2013 12:46:19,0.1,
02/12/2013 12:47:04,0.1,
02/12/2013 12:47:42,0.1,
02/12/2013 12:48:22,0.1,
02/12/2013 12:49:10,0.1,
02/12/2013 12:49:44,0.1,
02/12/2013 12:50:15,0.1,
02/12/2013 12:50:46,0.1,
02/12/2013 12:51:16,0.1,
02/12/2013 12:51:45,0.1,
02/12/2013 12:52:16,0.1,
02/12/2013 12:52:45,0.1,
02/12/2013 12:53:16,0.1,
02/12/2013 12:53:52,0.1,
02/12/2013 12:54:31,0.1,
02/12/2013 12:55:14,0.1,
02/12/2013 12:55:54,0.1,
02/12/2013 12:56:35,0.1,
02/12/2013 12:57:28,0.1,
02/12/2013 12:58:10,0.1,
02/12/2013 12:58:51,0.1,
02/12/2013 12:59:40,0.1,
02/12/2013 13:00:30,0.1,
02/12/2013 13:01:21,0.1,
02/12/2013 13:02:17,0.1,
02/12/2013 13:03:05,0.1,
02/12/2013 13:04:55,0.1,
02/12/2013 13:07:28,0.1,
02/12/2013 13:09:04,0.1,
02/12/2013 13:09:22,0.1,
02/12/2013 13:09:40,0.1,
02/12/2013 13:10:02,0.1,
02/12/2013 13:10:17,0.1,
02/12/2013 13:10:30,0.1,
02/12/2013 13:10:42,0.1,
02/12/2013 13:10:54,0.1,
02/12/2013 13:11:09,0.1,
02/12/2013 13:11:22,0.1,
02/12/2013 13:11:35,0.1,
02/12/2013 13:11:46,0.1,
02/12/2013 13:11:59,0.1,
02/12/2013 13:12:17,0.1,
02/12/2013 13:12:46,0.1,
02/12/2013 13:13:12,0.1,
02/12/2013 13:13:44,0.1,
02/12/2013 13:14:12,0.1,
02/12/2013 13:14:38,0.1,
02/12/2013 13:15:03,0.1,
02/12/2013 13:15:33,0.1,
02/12/2013 13:15:54,0.1,
02/12/2013 13:16:13,0.1,
02/12/2013 13:16:33,0.1,
02/12/2013 13:16:58,0.1,
02/12/2013 13:17:28,0.1,
02/12/2013 13:17:53,0.1,
02/12/2013 13:18:14,0.1,
02/12/2013 13:18:45,0.1,
02/12/2013 13:19:15,0.1,
02/12/2013 13:19:58,0.1,
02/12/2013 13:20:45,0.1,
02/12/2013 13:21:32,0.1,
02/12/2013 13:22:06,0.1,
02/12/2013 13:22:41,0.1,
02/12/2013 13:23:24,0.1,
02/12/2013 13:24:17,0.1,
02/12/2013 13:25:18,0.1,
02/12/2013 13:26:34,0.1,
02/12/2013 13:27:37,0.1,
02/12/2013 13:28:15,0.1,
02/12/2013 13:28:49,0.1,
02/12/2013 13:29:18,0.1,
02/12/2013 13:29:50,0.1,
02/12/2013 13:30:13,0.1,
02/12/2013 13:30:31,0.1,
02/12/2013 13:30:54,0.1,
02/12/2013 13:31:18,0.1,
02/12/2013 13:31:45,0.1,
02/12/2013 13:32:21,0.1,
02/12/2013 13:33:13,0.1,
02/12/2013 13:34:05,0.1,
02/12/2013 13:35:20,0.1,
02/12/2013 13:36:50,0.1,
02/12/2013 13:38:22,0.1,
02/12/2013 13:39:28,0.1,
02/12/2013 13:40:49,0.1,
02/12/2013 13:41:39,0.1,
02/12/2013 13:42:29,0.1,
02/12/2013 13:43:14,0.1,
02/12/2013 13:44:17,0.1,
02/12/2013 13:45:33,0.1,
02/12/2013 13:47:14,0.1,
02/12/2013 13:47:53,0.1,
02/12/2013 13:48:19,0.1,
02/12/2013 13:48:49,0.1,
02/12/2013 13:49:44,0.1,
02/12/2013 13:50:44,0.1,
02/12/2013 13:52:13,0.1,
02/12/2013 13:53:02,0.1,
02/12/2013 13:54:14,0.1,
02/12/2013 13:55:23,0.1,
02/12/2013 13:58:01,0.1,
02/12/2013 13:59:37,0.1,
02/12/2013 14:01:00,0.1,
02/12/2013 14:03:04,0.1,
02/12/2013 14:04:52,0.1,
02/12/2013 14:06:55,0.1,
02/12/2013 14:09:50,0.1,
02/12/2013 14:11:32,0.1,
02/12/2013 14:13:24,0.1,
02/12/2013 14:15:26,0.1,
