Date,Level cm,Flow l/s,Flag
23/06/2013 12:00:00,18.4700,20.0857,I
23/06/2013 12:05:00,18.4700,20.0857,
23/06/2013 12:10:00,18.3700,19.8150,
23/06/2013 12:15:00,17.9900,18.8061,
23/06/2013 12:20:00,18.2400,19.4663,
23/06/2013 12:25:00,18.1600,19.2535,
23/06/2013 12:30:00,17.9200,18.6237,
23/06/2013 12:35:00,17.6900,18.0318,
23/06/2013 12:40:00,17.5800,17.7528,
23/06/2013 12:45:00,17.8700,18.4940,
23/06/2013 12:50:00,17.5500,17.6772,
23/06/2013 12:55:00,17.8300,18.3907,
23/06/2013 13:00:00,18.2200,19.4129,
23/06/2013 13:05:00,18.0600,18.9896,
23/06/2013 13:10:00,17.9900,18.8061,
23/06/2013 13:15:00,17.7000,18.0573,
23/06/2013 13:20:00,17.9300,18.6497,
23/06/2013 13:25:00,18.1300,19.1741,
23/06/2013 13:30:00,17.8800,18.5199,
23/06/2013 13:35:00,17.7600,18.2108,
23/06/2013 13:40:00,17.3700,17.2274,
23/06/2013 13:45:00,17.5600,17.7024,
23/06/2013 13:50:00,17.5500,17.6772,
23/06/2013 13:55:00,17.8100,18.3392,
23/06/2013 14:00:00,17.7700,18.2364,
23/06/2013 14:05:00,17.6500,17.9301,
23/06/2013 14:10:00,17.4900,17.5265,
23/06/2013 14:15:00,17.5900,17.7781,
23/06/2013 14:20:00,17.6900,18.0318,
23/06/2013 14:25:00,17.5500,17.6772,
23/06/2013 14:30:00,17.3600,17.2026,
23/06/2013 14:35:00,17.3900,17.2770,
23/06/2013 14:40:00,17.5300,17.6269,
23/06/2013 14:45:00,17.6900,18.0318,
23/06/2013 14:50:00,17.7100,18.0829,
23/06/2013 14:55:00,17.6800,18.0064,
23/06/2013 15:00:00,17.8800,18.5199,
23/06/2013 15:05:00,17.7300,18.1339,
23/06/2013 15:10:00,17.6900,18.0318,
23/06/2013 15:15:00,17.6200,17.8540,
23/06/2013 15:20:00,17.3800,17.2522,
23/06/2013 15:25:00,17.6300,17.8793,
23/06/2013 15:30:00,17.7900,18.2878,
23/06/2013 15:35:00,17.3300,17.1284,
23/06/2013 15:40:00,17.5700,17.7276,
23/06/2013 15:45:00,17.5600,17.7024,
23/06/2013 15:50:00,17.2900,17.0297,
23/06/2013 15:55:00,17.5900,17.7781,
23/06/2013 16:00:00,17.6400,17.9047,
23/06/2013 16:05:00,17.5100,17.5766,
23/06/2013 16:10:00,17.3300,17.1284,
23/06/2013 16:15:00,17.4100,17.3268,
23/06/2013 16:20:00,17.5000,17.5516,
23/06/2013 16:25:00,17.3800,17.2522,
23/06/2013 16:30:00,17.2700,16.9805,
23/06/2013 16:35:00,17.3500,17.1779,
23/06/2013 16:40:00,17.4300,17.3766,
23/06/2013 16:45:00,17.4300,17.3766,
23/06/2013 16:50:00,17.4000,17.3019,
23/06/2013 16:55:00,17.4000,17.3019,
23/06/2013 17:00:00,17.2800,17.0051,
23/06/2013 17:05:00,17.5400,17.6520,
23/06/2013 17:10:00,17.8600,18.4682,
23/06/2013 17:15:00,17.3400,17.1531,
23/06/2013 17:20:00,17.7100,18.0829,
23/06/2013 17:25:00,17.6600,17.9555,
23/06/2013 17:30:00,17.4400,17.4015,
23/06/2013 17:35:00,17.4700,17.4764,
23/06/2013 17:40:00,17.5100,17.5766,
23/06/2013 17:45:00,17.6200,17.8540,
23/06/2013 17:50:00,17.6000,17.8034,
23/06/2013 17:55:00,17.8200,18.3650,
23/06/2013 18:00:00,17.6800,18.0064,
23/06/2013 18:05:00,17.7600,18.2108,
23/06/2013 18:10:00,17.5000,17.5516,
23/06/2013 18:15:00,17.9000,18.5718,
23/06/2013 18:20:00,17.8300,18.3907,
23/06/2013 18:25:00,17.6100,17.8287,
23/06/2013 18:30:00,17.7200,18.1084,
23/06/2013 18:35:00,17.8200,18.3650,
23/06/2013 18:40:00,17.9600,18.7278,
23/06/2013 18:45:00,18.1400,19.2006,
23/06/2013 18:50:00,17.9300,18.6497,
23/06/2013 18:55:00,18.1000,19.0949,
23/06/2013 19:00:00,18.0700,19.0159,
23/06/2013 19:05:00,17.9600,18.7278,
23/06/2013 19:10:00,17.8200,18.3650,
23/06/2013 19:15:00,17.9700,18.7539,
23/06/2013 19:20:00,18.0800,19.0422,
23/06/2013 19:25:00,18.0200,18.8846,
23/06/2013 19:30:00,18.0600,18.9896,
23/06/2013 19:35:00,18.0800,19.0422,
23/06/2013 19:40:00,17.9500,18.7017,
23/06/2013 19:45:00,18.0800,19.0422,
23/06/2013 19:50:00,18.0100,18.8584,
23/06/2013 19:55:00,17.9200,18.6237,
23/06/2013 20:00:00,17.9200,18.6237,
23/06/2013 20:05:00,18.0200,18.8846,
23/06/2013 20:10:00,17.8100,18.3392,
23/06/2013 20:15:00,18.0300,18.9108,
23/06/2013 20:20:00,18.0400,18.9370,
23/06/2013 20:25:00,18.0800,19.0422,
23/06/2013 20:30:00,18.1000,19.0949,
23/06/2013 20:35:00,17.9100,18.5977,
23/06/2013 20:40:00,18.0600,18.9896,
23/06/2013 20:45:00,18.3300,19.7073,
23/06/2013 20:50:00,18.2700,19.5464,
23/06/2013 20:55:00,17.9500,18.7017,
23/06/2013 21:00:00,18.0700,19.0159,
