Date,Level cm,Flow l/s,Flag
13/04/2012 10:30:00,20.6928,26.6851,I
13/04/2012 10:35:00,20.5704,26.2923,
13/04/2012 10:40:00,20.5092,26.0972,
13/04/2012 10:45:00,20.5806,26.3249,
13/04/2012 10:50:00,20.3461,25.5813,
13/04/2012 10:55:00,20.2849,25.3894,
13/04/2012 11:00:00,20.3257,25.5172,
13/04/2012 11:05:00,19.9484,24.3495,
13/04/2012 11:10:00,20.0605,24.6932,
13/04/2012 11:15:00,19.9382,24.3184,
13/04/2012 11:20:00,19.7648,23.7932,
13/04/2012 11:25:00,19.6221,23.3659,
13/04/2012 11:30:00,19.7240,23.6706,
13/04/2012 11:35:00,19.6221,23.3659,
13/04/2012 11:40:00,19.7750,23.8239,
13/04/2012 11:45:00,19.4691,22.9132,
13/04/2012 11:50:00,19.2346,22.2293,
13/04/2012 11:55:00,19.2142,22.1704,
13/04/2012 12:00:00,19.2142,22.1704,
13/04/2012 12:05:00,19.2855,22.3769,
13/04/2012 12:10:00,18.9082,21.2985,
13/04/2012 12:15:00,18.8267,21.0695,
13/04/2012 12:20:00,18.7145,20.7570,
13/04/2012 12:25:00,18.4901,20.1405,
13/04/2012 12:30:00,18.3780,19.8365,
13/04/2012 12:35:00,18.4392,20.0020,
13/04/2012 12:40:00,18.6023,20.4474,
13/04/2012 12:45:00,18.4188,19.9467,
13/04/2012 12:50:00,18.5921,20.4194,
13/04/2012 12:55:00,18.5309,20.2518,
13/04/2012 13:00:00,18.4188,19.9467,
13/04/2012 13:05:00,18.3576,19.7815,
13/04/2012 13:10:00,18.3168,19.6718,
13/04/2012 13:15:00,18.3984,19.8916,
13/04/2012 13:20:00,18.6227,20.5035,
13/04/2012 13:25:00,18.6533,20.5878,
13/04/2012 13:30:00,18.5717,20.3634,
13/04/2012 13:35:00,18.6635,20.6159,
13/04/2012 13:40:00,18.5819,20.3914,
13/04/2012 13:45:00,18.4392,20.0020,
13/04/2012 13:50:00,18.4595,20.0573,
13/04/2012 13:55:00,18.3678,19.8090,
13/04/2012 14:00:00,18.1638,19.2637,
13/04/2012 14:05:00,18.2556,19.5079,
13/04/2012 14:10:00,18.4392,20.0020,
13/04/2012 14:15:00,18.2046,19.3720,
13/04/2012 14:20:00,18.2964,19.6171,
13/04/2012 14:25:00,18.3168,19.6718,
13/04/2012 14:30:00,18.1434,19.2096,
13/04/2012 14:35:00,18.2148,19.3991,
13/04/2012 14:40:00,18.2760,19.5624,
13/04/2012 14:45:00,18.3576,19.7815,
13/04/2012 14:50:00,18.2148,19.3991,
13/04/2012 14:55:00,18.1536,19.2366,
13/04/2012 15:00:00,17.9599,18.7275,
13/04/2012 15:05:00,18.1128,19.1288,
13/04/2012 15:10:00,18.0720,19.0212,
13/04/2012 15:15:00,18.3678,19.8090,
13/04/2012 15:20:00,18.1332,19.1826,
13/04/2012 15:25:00,18.2658,19.5352,
13/04/2012 15:30:00,18.2964,19.6171,
13/04/2012 15:35:00,18.1230,19.1557,
13/04/2012 15:40:00,18.2760,19.5624,
13/04/2012 15:45:00,18.4290,19.9743,
13/04/2012 15:50:00,18.5411,20.2797,
13/04/2012 15:55:00,18.5105,20.1961,
